α_1_re,α_2_re,α_3_re,α_4_re,s,N
0.0,0.0,1.0,0.0,0.6059971307692337,0.0
0.0,0.0,1.0,0.0,0.4443431395946307,0.0
0.0,0.0,1.0,0.0,0.07070736756126217,0.0
0.0,1.0,0.0,0.0,0.10433108865706453,0.0
0.0,0.0,1.0,0.0,0.8465985936269839,0.0
1.0,0.0,0.0,0.0,0.24878145849285727,0.0
1.0,0.0,0.0,0.0,0.35846596969609945,0.0
0.0,1.0,0.0,0.0,0.23320868168369702,0.0
0.0,0.0,0.0,1.0,0.7575827587517792,0.0
0.0,0.0,1.0,0.0,0.8345355605335958,0.0
1.0,0.0,0.0,0.0,0.5260776422127253,0.0
0.0,0.0,0.0,1.0,0.4134934814955411,0.0
0.0,0.0,1.0,0.0,0.7408627044882043,0.0
0.0,1.0,0.0,0.0,0.9207666595535281,0.0
0.0,0.0,0.0,1.0,0.0629752111567986,0.0
0.0,0.0,0.0,1.0,0.714237961410601,0.0
0.0,0.0,1.0,0.0,0.5192684056933591,0.0
1.0,0.0,0.0,0.0,0.7476817925277693,0.0
1.0,0.0,0.0,0.0,0.18568135484825166,0.0
0.0,0.0,1.0,0.0,0.781990138645444,0.0
0.0,0.0,1.0,0.0,0.4457759790695256,0.0
0.0,0.0,0.9999999999999999,0.0,0.23669793899568825,0.0
0.0,0.0,1.0,0.0,0.8169874755979115,0.0
1.0,0.0,0.0,0.0,0.4511320476651317,0.0
0.0,0.0,1.0,0.0,0.8306207522880165,0.0
1.0,0.0,0.0,0.0,0.8078818901534217,0.0
1.0,0.0,0.0,0.0,0.6061585093785935,0.0
0.0,0.0,0.0,1.0,0.23412789010657042,0.0
0.0,0.0,0.0,1.0,0.8924018441206779,0.0
0.0,0.0,0.0,1.0,0.7390459946444431,0.0
0.0,0.0,1.0,0.0,0.9648780849171735,0.0
0.0,0.0,0.0,1.0,0.16346709562636685,0.0
0.0,1.0,0.0,0.0,0.48792098360909386,0.0
0.0,0.0,0.0,1.0,0.11392898671215579,0.0
0.0,0.0,0.0,1.0,0.3226393561820089,0.0
